Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
A,109.8,123.08,136.23,147.89,149.14,154.35,147.97,145.52,162.22,165.18,158.84,158.23,176.54,177.23,174.37,174.51,166.31,170.88,170.85,168.93
B,132.23,149.96,170.21,174.29,159.76,165.01,167.96,170.22,171.87,173.62,175.03,175.89,176.89,178.02,178.44,178.77,164.03,168.09,170.29,171.7
A,108.46,122.76,135.34,145.93,147.99,152.27,145.68,142.92,160.83,162.98,156.31,156.29,175.07,174.79,171.0,171.73,167.63,173.71,174.85,172.63
B,134.6,153.26,171.34,175.13,162.95,167.84,170.4,172.31,174.26,175.8,176.84,177.38,174.79,175.86,176.55,177.21,162.06,166.0,168.27,169.84
B,132.0,150.43,170.08,174.86,156.47,162.31,165.3,167.35,168.88,171.61,173.1,173.7,179.5,179.81,179.61,178.99,166.15,169.85,172.43,174.29
B,133.87,152.79,171.88,172.92,162.01,167.65,170.4,172.33,173.61,175.91,177.31,178.02,175.5,175.97,176.24,176.6,163.0,166.34,168.29,169.55
B,132.05,153.65,173.08,172.38,164.45,168.67,170.81,172.48,176.0,176.76,177.41,177.76,173.05,174.88,175.73,176.32,160.72,165.11,167.6,169.15
A,109.23,128.0,140.09,149.86,154.05,158.8,151.48,149.6,166.8,168.76,160.12,161.56,178.87,178.67,175.32,176.06,160.73,165.89,167.6,165.93
A,115.45,126.3,137.66,149.6,152.25,156.63,150.34,147.84,164.92,166.54,160.64,160.56,179.06,178.22,175.12,175.27,164.16,169.78,170.63,169.27
A,108.12,122.36,135.42,145.41,147.5,152.53,146.2,142.83,160.68,163.03,156.56,155.31,175.33,174.78,171.54,171.37,167.25,173.12,173.71,171.91
B,128.22,147.05,166.01,179.98,156.87,163.04,166.29,168.53,169.24,172.05,173.79,174.63,179.23,179.53,179.47,179.65,165.77,169.79,171.75,173.03
B,139.34,155.46,173.9,172.33,162.54,168.72,172.02,174.38,174.4,177.18,178.83,179.76,174.14,174.26,174.46,174.77,160.78,164.44,166.66,168.19
A,114.63,130.09,142.81,153.68,156.03,162.28,155.53,153.43,168.92,173.05,165.08,163.63,176.7,174.71,179.82,177.82,159.75,162.43,162.86,162.55
B,127.27,146.55,166.45,178.83,157.82,162.83,165.26,167.15,169.92,171.35,172.21,172.78,178.73,179.84,178.94,178.35,165.71,170.01,172.45,174.04
B,129.17,149.18,170.22,172.47,160.09,164.16,166.15,167.74,171.83,172.52,173.2,173.57,177.06,179.03,179.88,179.1,164.51,169.23,171.91,173.61
A,114.52,129.34,139.75,150.73,152.69,157.8,151.05,150.31,165.41,168.0,160.06,160.84,179.64,179.92,174.56,174.42,163.87,167.69,169.7,168.43
A,116.35,129.82,139.64,150.87,155.19,158.87,152.05,151.03,168.89,169.55,162.44,163.79,175.84,177.41,177.57,177.82,158.6,164.61,166.47,165.12
B,125.56,146.34,166.53,177.45,157.59,163.41,166.23,168.32,169.58,171.86,173.01,173.61,179.06,179.56,179.94,179.41,166.41,169.84,171.67,172.81
B,126.98,146.71,167.62,175.71,157.03,162.51,165.58,167.83,169.13,171.43,172.88,173.6,179.42,179.94,179.65,179.05,166.85,170.23,172.22,173.78
B,129.14,149.22,168.44,177.89,160.72,165.14,167.52,169.4,172.46,173.39,174.26,174.87,176.55,178.32,179.11,179.51,163.96,168.74,171.28,172.92
A,114.77,129.1,141.21,152.4,155.85,161.52,154.47,152.13,169.06,172.6,164.56,163.38,176.6,174.67,179.86,177.94,158.94,162.71,162.93,163.03
A,112.06,119.28,130.94,143.46,148.85,155.88,150.95,144.4,163.15,166.05,161.94,156.33,177.97,177.29,175.05,171.06,166.67,171.48,171.69,172.23
A,114.78,131.39,143.67,154.06,157.52,162.76,155.44,153.4,169.88,172.72,164.01,164.5,176.3,175.12,178.95,178.6,159.08,162.86,164.88,164.13
A,108.35,126.09,139.59,148.78,151.06,156.4,150.01,146.43,163.86,166.38,159.93,159.85,178.26,178.0,174.27,175.31,163.91,170.26,171.21,168.64
A,116.06,129.57,143.03,154.01,155.34,161.27,155.01,152.47,168.18,172.37,165.83,163.25,177.77,175.56,178.72,178.27,161.5,163.86,163.24,163.19
B,136.7,155.6,174.81,170.61,163.86,169.57,172.66,174.84,175.6,178.15,179.69,179.51,173.26,173.69,173.91,174.2,160.51,164.0,166.05,167.38
B,136.95,155.32,174.52,170.94,162.03,167.89,171.18,173.46,174.34,177.17,178.64,179.35,173.84,173.89,174.39,174.99,160.12,163.74,166.04,167.68
B,124.03,143.39,162.83,177.68,161.09,166.43,169.31,171.36,172.68,174.98,176.02,176.5,176.73,176.87,177.32,177.79,164.48,167.52,169.34,170.57
A,104.25,116.75,130.63,144.02,146.05,153.73,147.9,143.36,159.52,164.23,158.52,154.78,174.31,176.3,173.97,170.76,169.13,171.83,171.22,172.13
B,130.47,149.91,170.51,173.47,161.23,165.9,168.3,170.12,172.78,174.06,175.05,175.6,176.34,177.69,178.24,178.72,163.95,168.06,170.18,171.51
B,134.36,153.11,172.91,172.99,159.96,165.78,168.67,170.69,172.48,174.85,176.1,176.68,176.12,176.79,177.38,177.91,163.53,167.2,169.37,170.89
A,113.01,128.55,141.31,151.19,153.92,159.64,152.72,151.06,167.43,170.51,162.23,162.12,177.47,177.14,177.55,176.99,159.9,164.4,165.56,163.89
A,120.89,133.12,142.68,153.0,157.3,159.61,153.44,153.57,170.49,169.47,162.53,165.5,174.59,178.3,176.51,179.51,157.83,165.5,168.38,164.93
B,134.19,153.2,172.26,173.07,162.6,167.67,170.31,172.37,174.43,176.31,177.32,177.98,174.0,175.01,175.68,176.16,161.21,164.97,167.25,168.84
A,120.43,131.53,141.36,153.07,157.44,160.73,153.19,153.3,170.89,171.39,163.22,165.62,173.99,175.92,178.38,179.93,157.08,163.04,165.85,163.73
A,112.8,128.41,139.11,149.61,152.84,157.1,150.51,149.89,165.45,167.03,159.13,160.33,179.56,179.07,173.69,174.31,163.8,168.33,170.43,168.74
